assieds toi !	sit down !
tom a trouve ca .	tom found that .
elles sont en securite .	they re safe .
ils t ont vu .	they saw you .
ne sois pas folle !	don t be crazy .
ca marchera .	it ll work .
continue a regarder !	keep looking .
es tu malade ?	are you sick ?
amusons nous .	let s have fun .
vous etes adorables .	you re adorable .
est ce que je me trompe ?	am i mistaken ?
je me sens faible .	i feel weak .
tom a provoque marie .	tom teased mary .
c est de ma faute .	that s my fault .
je me sentis deprime .	i felt depressed .
j ai besoin d un stylo rouge .	i need a red pen .
je l ai entierement vu .	i ve seen it all .
est ce que votre mere est chez elle ?	is your mom home ?
je voulais gagner .	i wanted to win .
parviens tu a nous entendre ?	can you hear us ?
restez a proximite .	stay close .
relaxe max !	relax .
prends une biere !	have a beer .
sont ils des flics ?	are they cops ?
vide ton verre maintenant !	now drink up .
j ai un enfant .	i have one child .
va t attraper quelque chose a boire !	go grab a drink .
tom est sensible .	tom is touchy .
elles gagnerent .	they won .
vous me faites mal .	you hurt me .
j ai apporte la mienne .	i brought mine .
je suis toujours de mauvaise humeur .	i m always moody .
decampe !	beat it .
je suis restee a l interieur toute la journee .	i was in all day .
tom peut marcher .	tom can walk .
je dois etudier .	i have to study .
il se pourrait que tom gagne .	tom might win .
ne parlez pas !	don t talk .
nous partagerons .	we ll share .
reste alite !	stay in bed .
il semble etre honnete .	he seems honest .
nous marcherons .	we ll walk .
reveille toi tom !	tom wake up .
faites attention !	look out !
c est bon pour moi pour l instant .	i m good for now .
c est une impasse .	it s a dead end .
tom a bu du vin .	tom sipped wine .
je veux le meilleur .	i want the best .
il m a trompee .	he cheated on me .
continue a parler .	keep talking .
je suis amoureuse .	i m in love .
tom s en va ?	is tom leaving ?
faisons voler des cerfs volants .	let s fly kites .
elles m aiment .	they love me .
du calme .	don t rush .
je n entends pas tom .	i can t hear tom .
traduis le .	translate it .
toutes sont presentes .	all are present .
j ai besoin d une faveur .	i need a favor .
laisse le .	just leave it .
trop mignon !	how cute !
tranquille .	settle down .
qui jouait ?	who was playing ?
ils ont la frousse .	they re jittery .
arretez de siffler !	stop whistling .
sortez du lit !	get out of bed !
regardez qui est la .	look who s here .
s agit il d une blague ?	is this a gag ?
tom gardait le silence .	tom kept silent .
t a t il touchee ?	did he touch you ?
c est de la creme glacee .	this is ice .
vide le .	empty it out .
je leve des fonds .	i raise funds .
tom est d accord .	tom agrees .
je serai gentil .	i ll be nice .
soyez prudentes !	be careful .
dites nous en plus .	tell us more .
j ai une douleur dans mon bras .	my arm hurts .
tom a embrasse mary .	tom kissed mary .
j ai entendu qu il etait souffrant .	i hear he is ill .
tu passes en premier .	you re first .
lache l arme !	drop the gun .
est ce que je vous agace ?	do i annoy you ?
tous mes v ux !	congratulations !
faites ce que je dis .	do what i say .
restez tranquille .	keep quiet .
il marche vite .	he walks fast .
tu n es pas grosse .	you re not fat .
vois tu ca ?	do you see that ?
me parle pas !	don t talk to me !
je me suis presque noyee .	i almost drowned .
je pouvais vous embrasser .	i could kiss you .
c est ca .	that s it .
je veux une piscine .	i want a pool .
il n avait presque pas de dents .	he had few teeth .
je suis impliquee .	i m involved .
vous etes charmante .	you re charming .
je veux vivre .	i want to live .
il ceda .	he gave in .
je rigole .	i m just kidding .
etes vous content ?	are you happy ?
j accepterais .	i d accept .
je suis scolarise a la maison .	i m homeschooled .
elles sont en train d arriver .	they re coming .
es tu chez toi ?	are you home ?
je suis juste paresseuse .	i m just lazy .
tom a dormi tard .	tom slept late .
tom a quitte boston .	tom left boston .
je suis aneanti .	i m devastated .
lavez la vaisselle !	wash the dishes .
nous danserons .	we ll dance .
nous ne pouvons y aller .	we can t go .
ne resiste pas !	don t resist .
je suis deprime .	i m depressed .
utilisez vos cerveaux .	use your brain .
je blaguais .	i was kidding .
ce sont les siens .	that s his .
c est tellement bizarre .	that s so weird .
tom aime ca .	tom loves that .
c est pas con .	it s not stupid .
mettez vous a l abri !	take cover !
besoin d aide ?	can we help ?
votez s il vous plait .	please vote .
il vient a midi .	he comes at noon .
est ce que ceci est a vendre ?	is this for sale ?
il a apprecie cela .	he liked that .
reculez !	step back .
il le nia .	he denied it .
pourquoi est ce que je ne peux pas y aller ?	why can t i go ?
je suis la plus vieille .	i m the oldest .
taisons nous .	let s be silent .
j ai ete expulsee .	i got expelled .
j ai laisse un mot .	i left a note .
je suis un peu ivre .	i am a bit drunk .
je rentre chez moi .	i m going home .
c est marrant .	it s funny .
est ce ton dvd ?	is this your dvd ?
vous etes celle la .	you are the one .
ils se sont tous assis .	they all sat .
est ce que ca fonctionne ?	does it work ?
nous t attraperons .	we ll catch you .
nous rimes toutes .	we all laughed .
un bateau a chavire .	a boat capsized .
suis je engage ?	am i hired ?
nous echouerons .	we ll fail .
tu peux faire ceci .	you can do this .
je ne peux pas te le permettre .	i can t let you .
ceci a t il de la valeur ?	is this valuable ?
il est un peu ivre .	he s a bit drunk .
il avait l air bien .	he looked well .
ecrivez a tom .	write to tom .
tu es trop bruyant .	you re too loud .
je suis parti .	i left .
etes vous prets ?	are you ready ?
comment est la salade ?	how is the salad ?
il est ouvert .	he is outgoing .
je suis vraiment occupee .	i m really busy .
il est reste sans voix .	he remained dumb .
attends une seconde !	wait a sec .
j ai besoin de vous .	i need you .
sommes nous tous satisfaits ?	are we all happy ?
quoi ?	pardon me ?
ca arrivera .	it ll happen .
tom est intrigue .	tom is puzzled .
je le sens maintenant .	i feel it now .
je suis normal .	i m normal .
vous etes grognon .	you re grumpy .
merci tom .	thank you tom .
ce n est pas pour toi .	it s not for you .
bonne journee !	have a nice day .
il avait les cheveux longs .	he had long hair .
c est tout blanc .	it s all white .
fais ce que tu veux .	do what you want .
je suis devenue malade .	i got sick .
je peux attendre .	i can wait .
j aime le baseball .	i like baseball .
elle le hait .	she hates him .
je vous l ai dit !	i told you so .
j aime les herissons .	i love hedgehogs .
je vous y ai vu .	i saw you there .
je vous en prie .	you re welcome .
bonnes vacances !	happy holidays .
melange la soupe .	stir the soup .
j ai ecrit la note .	i wrote the note .
tom a menti .	tom lied .
je ne suis pas sure de la raison .	i m not sure why .
tom y est il retourne ?	has tom returned ?
j ai besoin d air .	i need air .
il vaut mieux que tu y ailles .	you d better go .
dites le a tout le monde .	tell everybody .
c est un ordre .	that s an order .
tom est strict .	tom is strict .
appelons tom .	let s call tom .
tom sourit .	tom smiled .
je le detruirai .	i ll destroy it .
tu es directe .	you re direct .
nous pouvons l essayer .	we can try it .
je ne suis pas seule .	i m not alone .
l as tu vu ?	did you see it ?
j ai besoin de conseils .	i need advice .
j ai beaucoup pleure .	i cried a lot .
attendez .	hold it !
relaxe !	take it easy !
je t avais prevenue .	i did warn you .
nous avons toutes bien reussi .	we all did well .
c est l un des miens .	it s one of mine .
je deteste ce type .	i hate that guy .
faites le plus petit .	make it smaller .
donnons nous les mains .	let s hold hands .
je suis etourdie .	i m forgetful .
nous ne sommes pas folles .	we re not mad .
donnez moi un baiser !	give me a kiss .
etait ce bon ?	was it good ?
pouvons nous venir ?	can we come ?
il avait un chien .	he had a dog .
ce n est pas nous .	it s not us .
j adore les enfants .	i love kids .
c est un rouspeteur .	he s a grouch .
qu est ce que c est ?	what is it ?
je ne suis pas fort .	i m not strong .
nous avons etabli un accord .	we have a deal .
faites gaffe !	look out !
attendez voir !	hold on a minute .
comme tu es grande !	how big you are !
je gagne .	i m winning .
le velo est a moi .	the bike s mine .
est ce que tom peut nous voir ?	can tom see us ?
quiconque est il blesse ?	is anybody hurt ?
j ai melange .	i got confused .
j ai oublie .	i ve forgotten .
laisse nous sortir !	let us out .
et vous ?	what about you ?
je suis impatiente .	i can t wait .
tom a t il aide ?	did tom help ?
il l a fait a nouveau .	he did it again .
qui est la ?	who s there ?
tom s est perdu .	tom got lost .
nous adorons les pique niques .	we love picnics .
demande lui son nom .	ask her her name .
nous nous sommes appretees .	we got ready .
restez tranquille !	keep still .
couvrez vous les yeux .	cover your eyes .
tout le monde le remarqua .	everyone noticed .
c est reconfortant d avoir un temps radieux aujourd hui .	it s balmy today .
tom va pleurer .	tom ll cry .
c etait vide .	it was empty .
j etais esseule .	i was lonely .
je viens d obtenir un boulot .	i just got a job .
il s agit d une blague .	that s a joke .
on m a arrete .	i got arrested .
je suis tres curieux .	i m very curious .
nous nous ennuyons tous .	we re all bored .
ne sois pas timide .	don t be shy .
je me sentais enerve .	i felt excited .
je me sens bien .	i feel good .
c est bete .	that s stupid .
nous sommes ses fils .	we are his sons .
j ai confectionne des biscuits .	i made cookies .
decampez !	get lost .
on ne peut pas le faire .	it can t be done .
est ce que je t agace ?	do i annoy you ?
a plus tard !	so long .
tom a honte .	tom is ashamed .
maintenant je suis serieux .	now i m serious .
tom s y connait en flingues .	tom knows guns .
arrete ca !	stop that .
tom la voulait .	tom wanted it .
c est tres propre .	it s very clean .
je peux y arriver .	i can handle it .
je dispose de l immunite .	i have immunity .
il me faut continuer .	i must continue .
essaie a nouveau .	try once again .
ecrivez votre nom .	write your name .
faisons le !	let s do it !
c est nouveau .	it s new .
est ce grave ?	is it serious ?
tom travaille .	tom has a job .
ils vivent separes .	they live apart .
ce n est pas vrai .	it s not true .
tom a l air en colere .	tom looks angry .
vous etes sinistres .	you re creepy .
je deteste conduire .	i hate driving .
rentre chez toi .	go back home .
vous l ai je demande ?	did i ask you ?
j aime ton fils .	i love your son .
nous ne sommes pas sures .	we re not sure .
je ne la connais pas .	i don t know her .
au sol !	lie low .
il me l a donne .	he gave it to me .
je veux demissionner .	i want to quit .
j en ai assez entendu .	i ve had enough .
tom est mort .	tom has died .
j ai demissionne de mon boulot .	i quit my job .
c est tom qui a fait cela .	tom did that .
j ai oublie mon stylo .	i forgot my pen .
devrais je fermer ?	should i close ?
il parait heureux .	he seems happy .
vas y !	go ahead !
tom est debout .	tom s awake .
j ai hele un taxi .	i hailed a cab .
va t en !	beat it .
il y donna un coup de pied .	he kicked it .
tom est tout ouie .	tom is all ears .
j ai les crocs .	i m very hungry .
qui peut m aider ?	who can help me ?
est ce que tom est paresseux ?	is tom lazy ?
j etais terrifie .	i was terrified .
je suis desole mais je ne peux pas etre d accord .	i beg to differ .
je suis choque .	i m shocked .
tom semblait aller bien .	tom seemed ok .
il gloussa .	he chuckled .
qui est ce garcon ?	who s that boy ?
debarrasse toi d elle !	get rid of her .
je t aimais .	i loved you .
que dites vous ?	what do you say ?
j aime l ocean .	i like the ocean .
nous sommes engages .	we re committed .
j apprecie les enfants .	i like children .
il fait tres froid .	it s very cold .
c est genial .	it s awesome .
pourquoi demandes tu ?	why do you ask ?
je t en prie creve pas !	please don t die .
il m a arnaquee .	he tricked me .
elle est canadienne .	she is canadian .
tom peut le faire .	tom can do it .
ne paniquez pas !	don t panic !
c est insolite .	this is unusual .
nous vivons des temps difficiles .	times are tough .
je le deciderai .	i ll decide .
je suis impulsif .	i m impulsive .
essaie de m arreter !	try to stop me .
ils ont reussi cela .	they did it .
je me suis senti mal .	i felt bad .
donne moi un marteau .	give me a hammer .
tom pue .	tom stinks .
c est mon idee .	this is my idea .
laissez un message !	leave a message .
faites attention !	be careful !
m aimes tu ?	do you love me ?
dieu sait pourquoi .	god knows why .
je n ai pas de fievre .	i have no fever .
je l ai trouve !	i ve found it .
il s en alla .	he walked away .
ma voiture a cale .	my car stalled .
nous n en avons pas termine .	we re not done .
conduis lentement .	drive slowly .
elles sont a moi .	they re mine .
les enfants ont besoin de sommeil .	kids need sleep .
es tu occupe ?	are you busy ?
c est dingue .	that s crazy .
tom a ete cruel .	tom was cruel .
ils ont embauche tom .	they hired tom .
rentre a la maison .	go home .
on m a largue .	i got dumped .
je veux que vous soyez revenue .	i want you back .
j avais la tete qui tournait .	i was dizzy .
l emploi est rare .	jobs are scarce .
vous semblez heureuse .	you seem happy .
je peux lire .	i can read .
tom est il en train de rever ?	is tom dreaming ?
j aime la biere .	i like beer .
je voudrais y aller .	i d like to go .
je le fis pour toi .	i did it for you .
tom est en vie .	tom is alive .
c est bien pour vous .	good for you .
je le prouverai .	i ll prove it .
il est historien .	he s a historian .
c etait logique .	it made sense .
je t apprecie vraiment .	i do like you .
c est nouveau .	this is new .
fais ca s il te plait !	please do this .
j aime les chameaux .	i like camels .
qui a ecrit ca ?	who wrote that ?
il y a qui a la maison ?	who s at home ?
je l espere vraiment .	i really hope so .
montrez nous le chemin .	show us the way .
je suis bon .	i am good .
tu vas bien ?	are you okay ?
nous sommes toutes la .	we re all here .
tu es grand .	you are big .
elles ont brule .	they burned .
c est concevable .	it s conceivable .
le soleil brille aujourd hui .	it s sunny today .
tom est stupefait .	tom is stunned .
ma tele est cassee .	my tv is broken .
je vis sur un bateau .	i live on a boat .
du poisson s il vous plait .	fish please .
je ne me souviens pas .	i don t remember .
gardez ceci .	keep this .
est il encore ici ?	is he still here ?
qui est en train de hurler ?	who s screaming ?
ca prend du temps .	it takes time .
etudie davantage .	study more .
tu peux me compter dans le nombre .	count me in .
tout est clair .	it s all clear .
tu es connue .	you re famous .
j ai la tete qui tourne .	i feel dizzy .
vous etes arrogant .	you re arrogant .
nous sommes sournois .	we re sneaky .
je passerai en premier .	i ll go first .
j ai des yeux .	i have eyes .
nous achetons .	we re buying .
c est tout a toi .	it s all yours .
mille mercis .	thanks a lot .
je ne transpire pas .	i m not sweating .
j ai froid .	i am cold .
re bonjour .	hello again .
ca va bien ?	you all right ?
il a vu la fille .	he saw the girl .
je dois me cacher .	i must hide .
je l ai trouve la .	i found it there .
laissez un commentaire .	leave a comment .
nous sommes toutes pretes .	we are all set .
entrez !	come in .
je travaillerai seul .	i ll work alone .
vous etes imprudent .	you re foolish .
j en ai assez vu .	i ve seen enough .
il n est pas idiot .	he is not stupid .
tom etait gene .	tom was ashamed .
pourrais tu nous aider ?	could you help ?
j ai failli tomber .	i almost fell .
je deteste le travail .	i hate work .
c est l instinct .	it s instinct .
bien sur .	of course .
bouge !	get away !
c est marrant .	it s fun .
je suis amoureuse de votre fils .	i love your son .
j ai prepare a diner .	i cooked dinner .
ne bougez pas !	don t move !
j ai pas fait gaffe .	i didn t care .
ne sois pas long .	don t be long .
je m assis .	i sat down .
paie moi un coup !	buy me a drink .
je vous en prie .	you go first .
grandissez un peu .	grow up a little .
veuillez patienter .	please hold on .
ils sont maries .	they re married .
qui aime les haricots ?	who likes beans ?
enfin arretez d agir comme des enfants !	come on grow up .
quelle grossierete !	how rude !
ce n est pas facile .	this isn t easy .
je n ai jamais parie .	i never bet .
tu dis ?	how s that again ?
ce sont les siens .	that s hers .
j ai fait de mon mieux .	i did my best .
tu es un puritain .	you re a prude .
je suis trop affaire .	i m too busy .
c est celle la .	that s the one .
il est sense .	he makes sense .
je suis arrive en retard .	i arrived late .
elles sont fortes .	they re strong .
je viens en paix .	i come in peace .
je me meurs .	i m dying .
sois de nouveau la bienvenue !	welcome back .
ca a l air douloureux .	it looks painful .
decampe !	go away .
j etais la en premier .	i was here first .
maitrisez vous !	control yourself !
sois gentille avec elle !	be nice to her .
je compatis a ta douleur .	i feel your pain .
je ne le permets pas .	i don t allow it .
etes vous en vie ?	are you alive ?
il s agit du votre .	this is yours .
c est devenu viral .	it went viral .
je n etais pas saoul .	i wasn t drunk .
tom s est gargarise .	tom gargled .
comment va tom ?	how s tom ?
reveille toi tom !	tom wake up .
il est mechant .	he is nasty .
ce n est pas bon .	it s no good .
tom s est mis a couvert .	tom took cover .
grimpe dans la voiture !	get in the car .
il se pourrait qu elle meure .	she could die .
j ai donne un coup de main .	i helped out .
tente le !	give it a shot .
tom l a pris .	tom took it .
ils sont libres de partir .	they may go .
c est mon cheval .	it s my horse .
me revoila .	here i am again .
nous sommes patients .	we re patient .
cessez de hurler !	stop yelling !
fais attention .	take care .
c est insuffisant .	it s inadequate .
j etais malade .	i was sick .
vas y .	go ahead !
tu es astucieux .	you re crafty .
faites confiance a tom .	trust tom .
ou sont les wc ?	where s the loo ?
tom etait direct .	tom was sincere .
je vais le reparer maintenant .	i ll fix it now .
tom est il nerveux ?	is tom nervous ?
je reviendrai .	i ll be back .
concentrez vous tom .	concentrate tom .
maintenant repare ca .	now fix that .
nous sommes fortes .	we re strong .
accorde nous une minute !	give us a minute .
c est une pipe .	this is a pipe .
c est gratuit .	this is free .
saisis toi de ca !	grab that .
venez avec moi maintenant .	come with me now .
vous etes impliquee .	you re involved .
il detestait mentir .	he hated lying .
offre moi un verre !	buy me a drink .
tom a paye en liquide .	tom paid cash .
je n ai pas de preuve .	i have no proof .
c est drole .	it s funny .
c est un signe .	that s a sign .
je suis libre !	i m free !
prends le volant .	take the wheel .
je suis en train de travailler .	i m working .
tu devrais avoir honte .	shame on you .
j ai raison .	i m right .
chacun attendit .	everyone waited .
tom a rougi .	tom blushed .
nous venons d atterrir .	we just landed .
elles m ont souhaite la bienvenue .	they greeted me .
il me faut une carte .	i need a map .
ca semble facile .	that looks easy .
je l ai lavee .	i washed it .
nous sommes en train de perdre .	we re losing .
quel est notre plan ?	what s our plan ?
je vais arreter maintenant .	i ll stop now .
je me suis fait vacciner contre la grippe .	i had a flu shot .
ne l ouvre pas .	don t open it .
lis ca maintenant !	read this now .
est ce veritable ?	is that genuine ?
pas de probleme !	no problem !
elle sait patiner .	she can skate .
tu as triche .	you cheated .
j ai de l argent .	i have money .
je l ai vu en premier .	i saw it first .
vous pleurez ?	are you crying ?
ouvre .	open up .
il ne m aime pas .	he dislikes me .
tom est ravi .	tom is thrilled .
elle vous faisait confiance .	she trusted you .
donnez le moi .	give it to me .
lisez le a haute voix .	read it aloud .
c est marrant .	that s fun .
nous pourrions marcher .	we could walk .
etes vous occupes ?	are you busy ?
cours !	run !
on s est eclates .	we had a blast .
c est un delit .	that s a crime .
degage !	get out !
c est mon parapluie .	it s my umbrella .
elles rigolent .	they re kidding .
il s agit de mon chat .	that s my cat .
jetez votre arme !	drop your gun !
tom est d accord .	tom approves .
descends .	get down .
j ai attendu un mois .	i waited a month .
laisse moi tranquille !	leave me alone !
sommes nous seules ?	are we alone ?
c est un acteur .	he is an actor .
je pleure chaque jour .	i cry every day .
des questions ?	any questions ?
m entendez vous ?	do you read me ?
je pense que j ai fini .	i think i m done .
nous n avons pas le temps .	we have no time .
personne ne bougea .	no one moved .
donne le leur .	give it to them .
il s efforce .	he tries hard .
attrape le !	catch him .
epousez moi !	marry me .
quelqu un sait ?	does anyone know ?
je suis habitue .	i m used to it .
c est la fin de l ecole .	school is out .
je suis assez heureuse .	i m quite happy .
j ai du vin .	i have wine .
donnez moi un marteau .	give me a hammer .
tu es tatillon .	you re finicky .
nous voulons la paix .	we want peace .
c est regrettable .	it s regrettable .
vous ai je blesse ?	did i hurt you ?
pourrais je le faire ?	could i do it ?
vous trichez .	you re cheating .
je suis menuisier .	i m a carpenter .
memorisez le .	memorize it .
elle a essaye .	she tried .
nous avons survecu !	we survived !
signe ca .	sign this .
n abandonne jamais .	never give up .
c est pitoyable !	how pathetic !
j ecris des poemes .	i write poems .
j ai mal aux poumons .	my lungs hurt .
oust !	get out !
je travaillerai dur .	i ll work hard .
arrives tu a nous entendre ?	can you hear us ?
je suis si seul .	i m so lonely .
suis les juste !	just follow them .
je ne suis pas fou .	i m not mad .
c est ici que ca fait mal .	it hurts here .
fais moi confiance l ami .	dude trust me .
je suis en vacances .	i m on vacation .
tom s adapte .	tom is adapting .
venez a moi .	come to me .
debarrassez vous d elle !	get rid of her .
ouvre cette porte !	open this door .
je me demandais .	i was wondering .
je les aime tous .	i like them all .
ce n est pas comme ca .	that s not how .
nous sommes de retour .	we re back .
arrete de siffler !	stop whistling .
personne ne le fait .	no one does that .
on m a mis une contravention .	i got fined .
tom a des projets .	tom has plans .
finis ton verre maintenant !	now drink up .
tu as la permission de nager .	you may swim .
notre point de vue est biaise .	we re biased .
mange plus de fruits .	eat more fruit .
je ne sors jamais .	i never go out .
c est ainsi .	that s the way .
elles vous ont vues .	they saw you .
j etais la haut .	i was upstairs .
ta mere est elle a la maison ?	is your mom home ?
tu as l air stupide .	you look stupid .
j ai ete engage .	i was hired .
ramenez tom .	bring tom back .
j en ai termine .	i m finished .
tu me fais mal .	you hurt me .
tu sembles contrarie .	you seem upset .
vous mentez .	you re lying .
tu es trop faible .	you re too weak .
je suis triste .	i m sad .
ce n est pas de l amour .	that s not love .
combien j avais tort !	boy was i wrong .
elles nous ont sauves .	they saved us .
je suis gaucher .	i m left handed .
comme elle est belle !	how nice !
tu es maigrichon .	you re skinny .
peuvent ils me voir ?	can they see me ?
je ne suis pas laid .	i m not ugly .
vous etes incroyables .	you re amazing .
je n ai pas triche .	i didn t cheat .
essaye de nouveau .	try it again .
l amour fait mal .	love hurts .
vous etes si gentil !	you re so sweet .
c est tom qui paye .	tom is buying .
il faut que je voyage .	i need to travel .
je suis d accord avec vous .	i agree with you .
tu es endormi .	you re sleepy .
ca me fit rire .	it made me laugh .
tom avait besoin de toi .	tom needed you .
tu es si naive .	you re so naive .
il est tellement idiot !	he s so stupid .
j ai eu de la chance .	i was lucky .
fais une liste !	make a list .
je suis en route .	i m on my way .
amenez le moi .	bring him to me .
ecoute une minute !	listen a minute .
ca te plait il ?	do you like that ?
je ne suis pas egoiste .	i m not selfish .
tom est en train de jouer .	tom is playing .
j aime causer .	i like talking .
nous attendimes .	we waited .
etes vous perdues ?	are you all lost ?
elles grandiront .	they ll grow .
vous avez besoin de sommeil .	you need sleep .
c est le tien .	it s yours .
passez moi le vin .	pass me the wine .
ma reponse est non .	my answer is no .
je vis en ville .	i live in town .
qui l emporte ?	who s winning ?
n etes vous pas en retard ?	aren t you late ?
elle le haissait .	she hated him .
ce sera pour moi .	i ll treat you .
qui n etait pas d accord ?	who disagreed ?
j imagine que ca va .	i guess it s ok .
ne vous arretez pas .	don t stop .
je ne suis pas une gamine .	i m not a kid .
ne me charriez pas !	don t kid me !
je me sens mieux .	i feel better .
c est si difficile .	this is so hard .
elles ont encore perdu .	they lost again .
elle est au regime .	she is dieting .
ca va .	that s alright .
ceci est une carte .	this is a map .
je ne peux pas la voir .	i can t see it .
voila ma chance .	here s my chance .
arrete ca !	stop that .
continuez a creuser .	continue digging .
je deteste les ordinateurs .	i hate computers .
tom a mange rapidement .	tom ate quickly .
il se peut que notre equipe gagne .	our team may win .
vous etes idiots .	you re silly .
tom y travaille .	tom works there .
verrouille la porte !	lock the door !
je me sens fievreuse .	i feel feverish .
je connais ton visage .	i know your face .
choisis moi !	choose me .
j aime les chats .	i like cats .
je les vois .	i see them .
me vois tu ?	do you see me ?
ce n etait pas suffisant .	it wasn t enough .
je continuerai .	i ll go ahead .
c est minable .	that s lame .
nous devons y aller .	we must go .
eteins le !	turn it off .
quelle heure est il ?	what s the time ?
tout le monde a cane .	everybody s dead .
couvre moi .	cover me .
vous etes genial .	you re awesome .
c est moi le patron maintenant .	i m the boss now .
j ai besoin d un mouchoir .	i need a tissue .
est ce que je peux aller au lit ?	may i go to bed ?
on m a demande ma carte d identite pour verifier mon age .	i got carded .
c est n importe quoi .	that s hogwash .
pourrais tu m aider ?	can you help me ?
ce fut ton idee .	it was your idea .
recommence !	do it again .
il s est exprime .	he spoke .
je peux appeler tom .	i can call tom .
donne moi une raison .	give me a reason .
saute de l autre cote .	jump across .
demandez lui son nom .	ask her her name .
detruisez la .	destroy it .
on se calme !	easy does it .
je suis un agriculteur .	i m a farmer .
je dois m en aller .	i need to go .
nous ne mangerons pas .	we won t eat .
vous devez partir .	you need to go .
les hommes devraient travailler .	men should work .
je l ai revue .	i saw her again .
je devais y aller .	i had to go .
il n a pas d argent .	he has no money .
voila .	here it is .
qui vous a recrutee ?	who hired you ?
je deteste les araignees .	i hate spiders .
tom etait il en colere ?	was tom angry ?
j etais agressive .	i was aggressive .
apporte a dejeuner !	bring a lunch .
je l ai presque fait .	i almost did it .
vous etes ruse .	you re crafty .
est ce que c est un renard ?	is that a fox ?
gardez votre calme .	keep cool .
tom a arrete de compter .	tom lost count .
etes vous en train de travailler ?	are you working ?
je derange ?	do you mind ?
combattez comme un homme .	fight like a man .
vous pouvez rentrer chez vous .	you can go home .
je vois quelqu un .	i see someone .
je deteste ce mec .	i hate that guy .
j ai du le faire .	i had to do it .
ou est tom ?	where is tom ?
fais ton boulot .	do your job .
je suis si fatigue .	i m so tired .
bravo !	well done !
vous etes timide .	you re shy .
je craque .	i m cracking up .
jusqu a quel point etes vous bons ?	how good are you ?
pourquoi sommes nous ici ?	why are we here ?
nettoie la fenetre .	clean the window .
annulez ca .	cancel that .
nous pouvons essayer .	we can try it .
je ne suis pas a la maison .	i m not home .
nous sommes en train d attendre .	we re waiting .
personne ne m aida .	no one helped me .
es tu celebre ?	are you famous ?
es tu en train de travailler ?	are you working ?
j ai la fringale .	i m starving .
il se trouve en prison .	he s in prison .
les koalas sont mignons .	koalas are cute .
mon pouls est rapide .	my pulse is fast .
tom n est pas en securite .	tom isn t safe .
j entends une sonnerie de telephone .	i hear the phone .
c est bete .	that s foolish .
je n en suis pas certain .	i m not certain .
je me sens deprimee .	i feel depressed .
t es un marrant .	you re a hoot .
j expliquerai .	i ll explain .
sommes nous perdus ?	are we lost ?
je suis tellement rassasie .	i m so full .
j en ai besoin .	i need it .
est ce que je pourrais y aller maintenant ?	can i go now ?
c est minable .	it s stupid .
tom est faible .	tom s weak .
attrape mon fusil !	get my rifle .
je t ai contrarie .	i ve upset you .
j irai avec vous .	i ll go with you .
c est un adulte .	he s a grown man .
parle francais .	speak french .
des chiens aboient .	dogs bark .
je suis appliquee .	i m hardworking .
elle est ici .	it s here .
c est moi le patron .	i m the boss .
bon je suis prete .	ok i m ready .
je suis arme .	i m armed .
c tait super .	that was great .
aucun commentaire .	no comment .
veuillez voter .	please vote .
je t ai menti .	i ve lied to you .
tu as l air grosse .	you look fat .
tom est en train de manger .	tom s eating .
on s y met !	let s do it !
laisse le garcon y aller .	let the boy go .
ta cravate me plait .	i like your tie .
nous apprecions tom .	we like tom .
viens avec moi .	come with me .
il se sent blesse .	he feels hurt .
essayez de m arreter !	try and stop me .
j arrive .	i m coming .
j etais scie .	i was stunned .
c est ca !	that s right .
on se connait ?	do you know me ?
j aime les champignons .	i like mushrooms .
il a travaille dur .	he worked hard .
je me sens assez seul .	i feel lonely .
j ai poursuivi tom .	i chased tom .
il n est pas idiot .	he s not stupid .
ai je l air gros ?	do i look fat ?
tout le monde est reste .	everybody stayed .
venez me voir .	come and see me .
il me faut te quitter .	i must leave you .
tu aimes ca ?	do you like that ?
j etais nouveau .	i was new .
il fut invite .	he was invited .
restez concentre .	keep focused .
tom reve .	tom s dreaming .
nous pourrions mourir .	we could die .
n es tu pas fatigue ?	aren t you tired ?
ferme la porte !	shut the door .
j ai contracte un rhume .	i caught a cold .
j y assisterai .	i ll attend .
ce n est pas si bien .	it s not so good .
j en ai termine .	i have finished .
nous t aiderons .	we ll help you .
je me suis remise .	i recovered .
il me faut partir .	i must go .
je suis le plus vieux .	i m the oldest .
je suis en retard .	i m late .
nous le voulons toutes les deux .	we both want it .
il m a sauve la vie .	he saved my life .
jette le de .	throw the dice .
il est parti tres loin .	he went far away .
je viens juste de demenager .	i just moved .
il est en retard .	he is late .
qui a cuisine ?	who cooked ?
tom a reussi .	tom succeeded .
laisse la bouteille .	leave the bottle .
cache le fric .	hide the money .
qu est ce que tu vas manger ?	what ll you eat ?
tu peux y arriver .	you can make it .
nous sommes en train de nous battre .	we re fighting .
c est mon emploi .	it s my job .
c est prive .	this is private .
je suis nerveuse .	i m nervous .
recommencez !	do it again .
je ne t ai pas vu .	i didn t see you .
je ne suis pas un enfant .	i m not a child .
je ne puis manger cela .	i can t eat that .
j ai presente mes excuses .	i apologized .
bonne chance .	good luck .
filez !	run .
personne ne te l a demande .	no one asked you .
l avez vous emporte ?	did you win ?
nous l avons fait .	we made it .
je n en aurais rien a faire .	i wouldn t care .
